date;date.end;duration;type;location.name; comment;source
1876-01-19;;;food riot;Damascus; no exact date ;
1878-01-01;;;food riot;Baghdad;no exact date;{Herzog 2012@434-435}
1878-03-12;;;food riot;Damascus;;
1878-03-13;;;food riot;Damascus;;
1878-03-14;;;food riot;Damascus;;
1878-03-15;;;food riot;Damascus;;
1878-03-16;;;food riot;Damascus;;
1878-09-01;;;food riot;Jaffa; no exact date, Bedouins loot shops;
1879-06-01;;;food riot;Baghdad; no exact date;
1880-03-14;;;food riot;Beirut;;
1908-08-19;;;food riot;Beirut;;
1908-09-16;;;food riot;Baghdad;;
1910-06-15;;;food riot;Aleppo; no exact date;
1910-07-02;;;food riot;Damascus;;
1910-08-11;;;food riot;Hama;;
1910-08-13;;;food riot;Homs;;
1913-01-17;;;food riot;Jerusalem;;
1913-01-18;;;food riot;Jerusalem;;
1913-02-17;;;food riot;Damascus;;
1914-11-13;;;food riot;Beirut;;
1914-11-21;;;food riot;Beirut;;
1916-02-29;;;food riot;Damascus;;
1873;1875;;famine;Anatolia;;{Ertem 2017}
1879;1881;;famine;Anatolia;;{Ertem 2017}
1877-04-24;1878-03-03;;war;Ottoman Empire;Russo-Ottoman War;
1696;;;famine;Aleppo; no exact date;{Ayalon 2017@65}
1757;1758;;famine;Damascus; no exact date;{Ayalon 2017@65}{Grehan 1999@142}
1685;;;famine;Aleppo; no exact date;{Ayalon 2017@65-66}
1674;;;food riot;Aleppo;no exact date;{Ayalon 2017@67-68}
1734;;;food riot;Aleppo;no exact date;{Ayalon 2017@68}
1751;;;food riot;Aleppo;no exact date;{Ayalon 2017@68}, al-Budayr€Ç
1743;;;food riot;Damascus;no exact date, but July;{Ayalon 2017@68}{Grehan 1999@109,151}{Sajdi 2002@170}, al-Budayr€Ç
1745-07-21;;;food riot;Damascus;;{Ayalon 2017@68}{Grehan 1999@151, 152-154}, al-Budayr€Ç
1749;;;food riot;Damascus;spring, crowds loot some bakeries;{Grehan 1999@158}, al-Budayr€Ç
1757;;;food riot;Damascus;February, day of the arrival of the new governor;{Grehan 1999@159}, al-Budayr€Ç
1758;;;food riot;Damascus;January? men, women and children in front of the bakeries;{Grehan 1999@162}, al-Budayr€Ç
1745;;;famine;Aleppo; no exact date;{Ayalon 2017@74}
1806;;;food riot;Damascus;February;{Grehan 1999@163}, al-Budayr€Ç
1787;1788;;famine;Diyarbak€±r (towns around); no exact date;{Ayalon 2017@74}
1914-10-31;1918;;war;Ottoman Empire;World War I;
1790;;;food riot;Istanbul;no exact date;{ThorntonSasmazer 2000@77, 117-118}
1770;;;food riot;Aleppo;no exact date;{Thieck 1985@å¤148}
1795;1797;;food riot;Istanbul;no exact date;{A€Ù€±r 2010@38-39}
1807;;;food riot;Istanbul;no exact date;{YesilgÌ¦z 2004@211}{A€Ù€±r 2010@40}
1811;;;food riot;Damascus;fears of a riot?;{Philipp 2001@124}
1813;;;food riot;Acre;female food riot;{Philipp 2001@176}
1832;;;food riot;Damascus;demonstrations against high prices of bread, theft;{BÌ_ssow 2012@59‰ÛÒ61} 
1840;;;food riot;Aleppo;no exact date;{Maoz 1968a@185}
1841;;;food riot;Aleppo;no exact date;{Maoz 1968a@185}
1856;;;food riot;Damascus;no exact date;{Maoz 1968a@185}
1877-12-01;;;food riot;Baghdad;no exact date;{Batatu 1978@470}{Herzog 2012@433-434}
1878;1880;;famine;Iraq;;{Herzog 2012@431}
1879-06-01;;;food riot;Baghdad;no exact date;{Herzog 2012@436}
1908-08-09;;;food riot;Baghdad;no exact date;{Herzog 2012@437}
1908-09-20;;;food riot;Baghdad;no exact date, looting;{Herzog 2012@438}
1880-08-01;;;food riot;Baghdad;no exact date;{Herzog 2012@437}
