date, duration, location.name, source, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2, 
1889,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"wheat | ton | 15173 | gbp | 85000",wheat,1.5416464947416052E7,kg,currency,85000,gbp,
1888,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"wheat | ton | 7560 | gbp | 40320",wheat,7.681307256473035E6,kg,currency,40320,gbp,
1889,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"barley | ton | 8100 | gbp | 25800",barley,8.229972060506823E6,kg,currency,25800,gbp,
1888,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"barley | ton | 4045 | gbp | 17120",barley,4.1099058005864318E6,kg,currency,17120,gbp,
1889,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"oats | ton | 712 | gbp | 2400",oats,723424.7045778836,kg,currency,2400,gbp,
1888,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"oats | ton | 700 | gbp | 2628",oats,711232.1533771328,kg,currency,2628,gbp,
1890,P1Y,Acre,40DC073A-5404-4AFD-BE1D-7AFC650DE6B2,"cereals | bushel | 1679768 | gbp | 247334",cereals,1679768,kg,currency,247334,gbp,
1889,P1Y,Acre,40DC073A-5404-4AFD-BE1D-7AFC650DE6B2,"cereals | bushel | 1133985 | gbp | 135985",cereals,1133985,kg,currency,135985,gbp,
1890,P1Y,Acre,40DC073A-5404-4AFD-BE1D-7AFC650DE6B2,"maize | bushel | 221464 | gbp | 21725",maize,221464,kg,currency,21725,gbp,
1889,P1Y,Acre,40DC073A-5404-4AFD-BE1D-7AFC650DE6B2,"maize | bushel | 448952 | gbp | 39283",maize,448952,kg,currency,39283,gbp,
1891,P1Y,Alexandretta,ABDA2C1D-2396-475F-B922-B3307910D959,"cereals | ton | 19496 | gbp | 113004",cereals,1.9808831517486546E7,kg,currency,113004,gbp,
1890,P1Y,Alexandretta,ABDA2C1D-2396-475F-B922-B3307910D959,"cereals | ton | 14945 | gbp | 85752",cereals,1.5184806474601785E7,kg,currency,85752,gbp,
1891,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"wheat | ton | 62000 | gbp | 393000",wheat,6.299484787054605E7,kg,currency,393000,gbp,
1890,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"wheat | ton | 28850 | gbp | 16500",wheat,2.931292517847183E7,kg,currency,16500,gbp,
1891,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"barley | ton | 31500 | gbp | 22500",barley,3.200544690197098E7,kg,currency,22500,gbp,
1890,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"barley | ton | 18250 | gbp | 58500",barley,1.854283828447525E7,kg,currency,58500,gbp,
1891,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"oats | ton | 5600 | gbp | 22500",oats,5.689857227017063E6,kg,currency,22500,gbp,
1890,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"oats | ton | 10300 | gbp | 33000",oats,1.0465273113977812E7,kg,currency,33000,gbp,
1891,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"millet | ton | 1900 | gbp | 9500",millet,1.9304872734522177E6,kg,currency,9500,gbp,
1890,P1Y,Mersin,ABDA2C1D-2396-475F-B922-B3307910D959,"millet | ton | 600 | gbp | 1650",millet,609627.5600375424,kg,currency,1650,gbp,
1891,P1Y,Adana,ABDA2C1D-2396-475F-B922-B3307910D959,"wheat | ton | 100000 | gbp | 633000",wheat,1.016045933395904E8,kg,currency,633000,gbp,
