schema:date, duration, schema:Place, source, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2, commodity-3, quantity-3, unit-3,
1888,P1Y,Acre,AF0A6730-BE23-4184-83FB-8ADAB2E4314E,"cereals | bushel | 585728 | gbp | 86638",cereals,1,bushel ,currency,0.14791507320804195,gbp,
1888,P1Y,Acre,AF0A6730-BE23-4184-83FB-8ADAB2E4314E,"maize | bushel | 142600 | gbp | 13814",maize,1,bushel ,currency,0.09687237026647967,gbp,
1888,P1Y,Adana,2B2DFE93-9930-4C62-92B6-56F2E166130F,"wheat | ton | 21560 | gbp | 109320",wheat,1,ton    ,currency,5.070500927643785,gbp,
1888,P1Y,Adana,2B2DFE93-9930-4C62-92B6-56F2E166130F,"barley | ton | 17045 | gbp | 52120",barley,1,ton    ,currency,3.0577882076855385,gbp,
1888,P1Y,Adana,2B2DFE93-9930-4C62-92B6-56F2E166130F,"millet | ton | 3000 | gbp | 13500",millet,1,ton    ,currency,4.5,gbp,
1888,P1Y,Alexandretta,2B2DFE93-9930-4C62-92B6-56F2E166130F,"cereals | ton | 12532 | gbp | 90094",cereals,1,ton    ,currency,7.1891158633897225,gbp,
1888,P1Y,Damascus,93FF51D0-56D0-42AC-A39C-D675E69D1CEB,"cereals | bushel | 420000 | gbp | 75600",cereals,0.9999999999999999,bushel ,currency,0.18,gbp,
1888,P1Y,Damascus,93FF51D0-56D0-42AC-A39C-D675E69D1CEB,"flour | sack | 68107 | gbp | 69725",flour,1,sack   ,currency,1.0237567357246686,gbp,
1888,P1Y,Jaffa,C75E6DA4-13CB-48B5-BFFF-E6C0CA5D8663,"wheat | qr-imp | 6250 | gbp | 7800",wheat,1,qr-imp ,currency,1.248,gbp,
1888,P1Y,Jaffa,C75E6DA4-13CB-48B5-BFFF-E6C0CA5D8663,"maize | qr-imp | 21200 | gbp | 16960",maize,1,qr-imp ,currency,0.7999999999999999,gbp,
1888,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"wheat | ton | 7560 | gbp | 40320",wheat,1,kg,currency,0.005249106519729744,gbp,
1888,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"barley | ton | 4045 | gbp | 17120",barley,0.9999999999999999,kg,currency,0.004165545594148944,gbp,
1888,P1Y,Mersin,2B2DFE93-9930-4C62-92B6-56F2E166130F,"oats | ton | 700 | gbp | 2628",oats,1,kg,currency,0.003694996053709759,gbp,
1889,P1Y,Acre,AF0A6730-BE23-4184-83FB-8ADAB2E4314E,"cereals | bushel | 1133808 | gbp | 135995",cereals,1,bushel ,currency,0.1199453522995075,gbp,
1889,P1Y,Acre,AF0A6730-BE23-4184-83FB-8ADAB2E4314E,"maize | bushel | 448952 | gbp | 39283",maize,1,bushel ,currency,0.08749933177711648,gbp,
1889,P1Y,Acre,40DC073A-5404-4AFD-BE1D-7AFC650DE6B2,"cereals | bushel | 1133985 | gbp | 135985",cereals,1,kile,currency,0.13490753845950343,gbp,
1889,P1Y,Acre,40DC073A-5404-4AFD-BE1D-7AFC650DE6B2,"maize | bushel | 448952 | gbp | 39283",maize,1,kile,currency,0.09843674824925605,gbp,
1889,P1Y,Adana,2B2DFE93-9930-4C62-92B6-56F2E166130F,"wheat | ton | 23173 | gbp | 124600",wheat,1,ton    ,currency,5.376947309368662,gbp,
1889,P1Y,Adana,2B2DFE93-9930-4C62-92B6-56F2E166130F,"barley | ton | 15600 | gbp | 45900",barley,1,ton    ,currency,2.9423076923076925,gbp,
1889,P1Y,Adana,2B2DFE93-9930-4C62-92B6-56F2E166130F,"millet | ton | 3200 | gbp | 14100",millet,1,ton    ,currency,4.40625,gbp,
