date, source-uuid, orig-data, commodity-1, quantity-1, unit-1, commodity-2, quantity-2, unit-2,
1878-01-18,08F68CC6-491E-4006-B3AE-6FD88A066BE9,a raṭl of flour is sold at Ps 6 ½ to Ps 7 ½,flour,1,ratl,currency,6.5,ops,currency,7.5,ops,
1878-01-18,D14CCB99-8811-409C-A937-AF80690351AF,Ps 36-40 for the ṭabba of flour; which equals some 7-7;5 raṭl.,flour,1,tabba,flour,7,ratl,flour,7.5,ratl,currency,36,ops,currency,40,ops,
1878-01-18,D14CCB99-8811-409C-A937-AF80690351AF,The raṭl of flour baladī costs Ps 6;5-7;5,flour,1,ratl,currency,6.5,ops,currency,7.5,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,a wazana of best quality at Ps 35,flour,1,wazana,currency,35,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,middle quality at Ps 25"20,flour,1,wazana,currency,25.5,ops,
1888-10-01,2778181B-EA05-4BEB-97CD-E14A8306694E,the last quality at Ps 21"20,flour,1,wazana,currency,21.5,ops,
1898-05-28,F8E04C0D-83A1-409A-BAF1-BFC2704DD9D3,okka of Ṭaḥīn Ps 2,flour,1,ratl,currency,4,ops,
1898-05-28,F8E04C0D-83A1-409A-BAF1-BFC2704DD9D3,medium 75 Para,flour,1,ratl,currency,3.75,ops,
1898-05-28,F8E04C0D-83A1-409A-BAF1-BFC2704DD9D3,lowest 70 Para,flour,1,ratl,currency,3.5,ops,
1898-05-28,F8E04C0D-83A1-409A-BAF1-BFC2704DD9D3,even lower at 62 Para,flour,1,ratl,currency,3.1,ops,
1907-11-18,09AD487C-5436-4F86-9D45-D86A8F593E1A,1. class Ps 4"30,flour,1,ratl,currency,4.75,ops,
1907-11-18,09AD487C-5436-4F86-9D45-D86A8F593E1A,2. class Ps 3"20,flour,1,ratl,currency,3.5,ops,
1907-11-18,09AD487C-5436-4F86-9D45-D86A8F593E1A,3. class Ps 3,flour,1,ratl,currency,3,ops,
1909-03-30,E5385ADD-7665-44E0-8526-F064DDE22224,flour (*al-ṭaḥīn*) merchants raised the price of a raṭl to Ps 0"20,flour,1,ratl,currency,0.5,ops,
1909-04-13,C458F3B3-C575-4E8F-8E0D-0E4928DACCDB,flour is sold for Ps 43 per ṭabba,flour,1,tabba,currency,43,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,Ps 60 for *al-farkha*,flour,1,wazana,currency,60,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,Ps 59 for 2nd quality,flour,1,wazana,currency,59,ops,
1909-04-06,C203B9AC-A2ED-443C-B665-4FBD9B080B5B,Ps 55 for *al-duqāq*,flour,1,wazana,currency,55,ops,
