schema:Place,schema:latitude,schema:longitude,schema:language,schema:identifier
'Uqayba,36.43822,36.96762,,https://www.geonames.org/173134
Aaley,33.810086,35.603245,,https://www.geonames.org/280425
Acre,32.923925,35.070630,en,https://www.geonames.org/295721
Ad Daḩdāḩ,33.517628,36.305194,en,https://www.geonames.org/174271
Adana,37.00167,35.32889,en,https://www.geonames.org/325363
Africa,7.1881,21.09375,en,https://www.geonames.org/6255146
Afrika,7.1881,21.09375,de,https://www.geonames.org/6255146
Afrique,7.1881,21.09375,fr,https://www.geonames.org/6255146
Ain Zarqa,32.07275,36.08796,,https://www.geonames.org/250090
Ain Zerka,32.07275,36.08796,,https://www.geonames.org/250090
Ain el-Fiji,33.63578,36.18944,,https://www.geonames.org/7894838
Ain ez Zarka,32.07275,36.08796,,https://www.geonames.org/250090
Ain ez Zarqa,32.07275,36.08796,,https://www.geonames.org/250090
Ain-Fijeh,33.63578,36.18944,,https://www.geonames.org/7894838
Ain-Zerka,32.07275,36.08796,,https://www.geonames.org/250090
Ajloun,32.33385,35.75238,en,https://www.geonames.org/250799
Ajlun,32.33385,35.75238,,https://www.geonames.org/250799
Akka,32.923925,35.070630,en,https://www.geonames.org/295721
Akko,32.923925,35.070630,de,https://www.geonames.org/295721
Akkon,32.923925,35.070630,de,https://www.geonames.org/295721
Al Başrah,30.53302,47.79747,,https://www.geonames.org/99532
Al Hegr,26.8061,37.95512,,https://www.geonames.org/104645
Al Hijr,26.8061,37.95512,,https://www.geonames.org/104645
Al Hudaydah,14.79781,42.95452,en,https://www.geonames.org/79415
Al H̱egr,26.8061,37.95512,,https://www.geonames.org/104645
Al Khirbah as Samra',32.1796,36.16477,,https://www.geonames.org/250609
Al Khirbah as Samrā’,32.1796,36.16477,,https://www.geonames.org/250609
Al Lajāh,32.93481,36.385,,https://www.geonames.org/173573
Al Mafraq,32.34289,36.20804,ar-Latn-x-ijmes,https://www.geonames.org/250582
Al Mazzah,33.49991,36.24763,,https://www.geonames.org/173470
Al Muzayrīb,32.71099,36.02743,,https://www.geonames.org/166503
Al Qabun,33.54309,36.33604,,https://www.geonames.org/173396
Al Qaymarīyah,33.5108,36.3094,en,https://www.geonames.org/7642461
Al Qunaytirah,33.12594,35.82461,,https://www.geonames.org/173334
Al Qunayţirah,33.12594,35.82461,,https://www.geonames.org/173334
Al Qurayyat,34.022298,36.730134,en,https://www.geonames.org/108648
Al Qābūn,33.54309,36.33604,,https://www.geonames.org/173396
Al Sheikh Maskin,32.82944,36.15933,,https://www.geonames.org/164328
Al Ḩamīdīyah,33.5106,36.3051,en,https://www.geonames.org/7642567
Al Ḩijr,26.8061,37.95512,,https://www.geonames.org/104645
Al-Hajar,26.8061,37.95512,,https://www.geonames.org/104645
Alaska,64.00028,-150.00028,en,https://www.geonames.org/5879092
Aleih,33.810086,35.603245,en,https://www.geonames.org/280425
Alep,36.20124,37.16117,fr,https://www.geonames.org/170063
Aleppo,36.20124,37.16117,en,https://www.geonames.org/170063
Alexandretta,36.58718,36.17347,en,https://www.geonames.org/311111
Alexandria,31.20176,29.91582,en,https://www.geonames.org/361058
Alexandrie,31.20176,29.91582,fr,https://www.geonames.org/361058
Aleyh,33.810086,35.603245,,https://www.geonames.org/280425
Algarve,37.18849,-8.15642,fr,https://www.geonames.org/2271989
Algeria,28,3,en,https://www.geonames.org/2589581
Algerien,28,3,de,https://www.geonames.org/2589581
Algérie,28,3,fr,https://www.geonames.org/2589581
Allemagne,51.5,10.5,fr,https://www.geonames.org/2921044
Almanya,51.5,10.5,tr,https://www.geonames.org/2921044
Amerika Birleşik Devletleri,39.76,-98.5,tr,https://www.geonames.org/6252001
Anadolu,39,35,tr,https://www.geonames.org/323835
Anatolia,39,35,en,https://www.geonames.org/323835
Anatolien,39,35,de,https://www.geonames.org/323835
Andalusia,37.6,-4.5,en,https://www.geonames.org/2521750
Argentina,-34,-64,en,https://www.geonames.org/3865483
Argentine,-34,-64,fr,https://www.geonames.org/3865483
Argentinien,-34,-64,de,https://www.geonames.org/3865483
Arjantin,-34,-64,tr,https://www.geonames.org/3865483
As Salţ,32.03917,35.72722,,https://www.geonames.org/250258
Ash Shāghūr,33.506789,36.305853,en,https://www.geonames.org/250295
Asia,29.84064,89.29688,en,https://www.geonames.org/6255147
Asia Minor,39,35,en,https://www.geonames.org/323835
Asie,29.84064,89.29688,fr,https://www.geonames.org/6255147
Asien,29.84064,89.29688,de,https://www.geonames.org/6255147
Assouan,24.09082,32.89942,fr,https://www.geonames.org/359792
Assuan,24.09082,32.89942,de,https://www.geonames.org/359792
Astāna,41.01384,28.94966,ar-Latn-x-ijmes,https://www.geonames.org/745044
Asvan,24.09082,32.89942,tr,https://www.geonames.org/359792
Aswān,24.09082,32.89942,en,https://www.geonames.org/359792
Asya,29.84064,89.29688,tr,https://www.geonames.org/6255147
Attaouba Mosque,33.51523,36.30435,,https://www.geonames.org/7642661
Australia,-25,135,en,https://www.geonames.org/2077456
Australie,-25,135,fr,https://www.geonames.org/2077456
