date,source-uuid,orig-data,commodity-1,quantity-1,unit-1,commodity-2,quantity-2,unit-2,commodity-3,quantity-3,unit-3,commodity-4,quantity-4,unit-4,Column 16,Column 17,Column 18,Column 19
1877-10-18,E3B44645-F210-4D6E-92FA-136A064A1F9E,the kile (cift) of wheat now costs between Ps 35 and Ps 42,wheat,1,kile,currency,35,ops,currency,42,ops,,,,,,,
1877-12-17,7D851B0E-E902-4C28-BF80-819206920120,42 q per kile for high qualities,wheat,1,kile,currency,42,ops,,,,,,,,,,
1877-12-17,7D851B0E-E902-4C28-BF80-819206920120,40 for inferior ones,wheat,1,kile,currency,40,ops,,,,,,,,,,
1877-12-06,A9818BC2-831C-4278-81C8-2131D128CEF2,price of wheat rising to 48 q per kile although the majlis al-baladiyya tried to set a limit at 40,wheat,1,kile,currency,48,ops,currency,40,ops,,,,,,,
1877-02-29,9B57B2F2-8C54-4263-81A3-72574925A35D,demand for wheat caused the price to rise some Ps 2 per kile,wheat,1,kile,currency,2,ops,,,,,,,,,,
1878-10-31,8F9C3206-8CA4-48AF-B0F3-CF03550339DF,prices of wheat rising to 35 q/kile,wheat,1,kile,currency,35,ops,,,,,,,,,,
1878-02-11,B496B63D-3626-4B70-9226-22FE8CF89769,price of wheat rising to 44-45 q/kile,wheat,1,kile,currency,44,ops,currency,45,ops,,,,,,,
1878-02-11,B496B63D-3626-4B70-9226-22FE8CF89769,order to the bawāʾikī to sell it for not more than 40,wheat,1,kile,currency,40,ops,,,,,,,,,,
1878-04-24,97477662-C07F-413F-8F0F-0D3708144F1B,4 months ago wheat cost 40 q/cift and less,wheat,1,kile,currency,40,ops,,,,,,,,,,
1878-04-24,97477662-C07F-413F-8F0F-0D3708144F1B,one and a half months ago it sold at 60,wheat,1,kile,currency,60,ops,,,,,,,,,,
1878-04-24,97477662-C07F-413F-8F0F-0D3708144F1B,until it reached 70,wheat,1,kile,currency,70,ops,,,,,,,,,,
1878-05-13,3EED1AF4-DF36-4481-AD6C-44C8B9C2D41C,wheat at 35 q/kile;,wheat,1,kile,currency,35,ops,,,,,,,,,,
1878-06-06,43421377-357F-48FC-8DF4-7037A6EB03F1,the new wheat is sold at 42 q/kile in Damascus,wheat,1,kile,currency,42,ops,,,,,,,,,,
1878-07-01,C198D4BC-B71A-472F-8FF7-FD614A63D96B,grain (ḥubūb) now selling at 22-25 q/kile.,wheat,1,kile,currency,22,ops,currency,25,ops,,,,,,,
1879-04-15,66F285EE-853B-4C72-92D3-F777D1DCAC1E,falling prices; which some deem to reach 27p/kile,wheat,1,kile,currency,27,ops,,,,,,,,,,
1880-01-02,64A41DF3-5C6F-47B3-BC82-172910BCEE94,price for a kile of wheat did not fall below Ps 40,wheat,1,kile,currency,40,ops,,,,,,,,,,
1880-03-26,F52DEC97-4A89-4C15-82A4-7250DB0DF836,steep rise in the price of grain from Ps 40 and less per cift to 60 within the past 4 months,wheat,1,kile,currency,40,ops,currency,60,ops,,,,,,,
1880-03-26,F52DEC97-4A89-4C15-82A4-7250DB0DF836,Now it reached Ps 70,wheat,1,kile,currency,70,ops,,,,,,,,,,
//1880-04-03,D6A74096-F6DA-48D9-8D3A-429CDE127456,At the end of January grain cost 400 q/kile in Urfa,wheat,1,kile,currency,400,ops,,,,,,,,,,
//1880-04-03,D6A74096-F6DA-48D9-8D3A-429CDE127456,AT the end of March wheat at 55 q/kile at Hazru,wheat,1,kile,currency,55,ops,,,,,,,,,,
//1880-04-03,D6A74096-F6DA-48D9-8D3A-429CDE127456,At Mardin the price of grain is about 700 q/kile,wheat,1,kile,currency,700,ops,,,,,,,,,,
1880-06-01,64766D99-EACA-4CDD-ADB5-BE0750C74B5D,from 30 pias. the kilé (28s. 6d. the quarter),wheat,1,kile,currency,30,ops,,,,,,,,,,
1880-06-01,64766D99-EACA-4CDD-ADB5-BE0750C74B5D,attained 40 pias. during the summer,wheat,1,kile,currency,40,ops,,,,,,,,,,
1880-06-01,64766D99-EACA-4CDD-ADB5-BE0750C74B5D,50 pias. towards the close of the year,wheat,1,kile,currency,50,ops,,,,,,,,,,
1880-06-01,64766D99-EACA-4CDD-ADB5-BE0750C74B5D,finally reaching (March; 1880) 62 pias. the kilé; or about 80s. the quarter,wheat,1,kile,currency,62,ops,,,,,,,,,,
1880-06-01,64766D99-EACA-4CDD-ADB5-BE0750C74B5D,wheat will probably touch 70 pias.,wheat,1,kile,currency,70,ops,,,,,,,,,,
1881-07-01,543C5899-F610-42AB-B2EC-5D4103B04CBB,1879/80: wheat at Ps 70 to 80,wheat,1,kile,currency,70,ops,currency,80,ops,,,,,,,
1881-07-01,543C5899-F610-42AB-B2EC-5D4103B04CBB,1880: wheat at Ps 35,wheat,1,kile,currency,35,ops,,,,,,,,,,
1881-07-01,543C5899-F610-42AB-B2EC-5D4103B04CBB,1881: wheat at Ps 29,wheat,1,kile,currency,29,ops,,,,,,,,,,
1881-07-01,543C5899-F610-42AB-B2EC-5D4103B04CBB,wheat at 20 pias. per kilé,wheat,1,kile,currency,20,ops,,,,,,,,,,
1882-11-16,9FC6A354-DB60-426A-BA43-EB00A3EFE304,best quality wheat at Ps 23/ kile,wheat,1,kile,currency,23,ops,,,,,,,,,,
1882-03-09,594B424D-913E-4CB6-852C-3B08151ACBDE,price of cereals dropped to Ps 25 for a kile of wheat,wheat,1,kile,currency,25,ops,,,,,,,,,,
1883-01-01,9336257C-4957-4320-A84E-E68BCC1F5357,At the opening of the year the kilé; or bushel; cost 23 pias.; and afterwards the price went down to 17 pias.,wheat,1,kile,currency,23,ops,currency,17,ops,,,,,,,
1883-11-22,06429377-C07F-418A-981C-EDF33EB7FA18,Price of wheat at Ps 17 to 24/kile,wheat,1,kile,currency,17,ops,currency,24,ops,,,,,,,
1883-12-10,473068A4-500E-47CC-8412-6B1EBECC0535,not more than Ps 22/ kile of wheat,wheat,1,kile,currency,22,ops,,,,,,,,,,
1883-12-31,806D6639-8550-4E4D-A369-AF52195FC8EB,Wheat at Ps. 15-20 /kile,wheat,1,kile,currency,15,ops,currency,20,ops,,,,,,,
1883-03-31,B4D15470-252C-4AE3-97F6-4E19863891F0,a kile of wheat is worth P. 20 to 2[x],wheat,1,kile,currency,20,ops,,,,,,,,,,
1883-09-24,EFF7D929-76CE-40FC-8F50-FDF8A58F14E6,price of wheat is low for lacking demand from Acre; currently below Ps 23 /kile,wheat,1,kile,currency,23,ops,,,,,,,,,,
1883-09-29,54226C02-7A7F-4F29-A998-13403CF5209E,wheat at Ps 20-24/ kile,wheat,1,kile,currency,20,ops,currency,24,ops,,,,,,,
1884-01-31,96710D14-9736-4B34-A644-F90F3B294456,Ps 21 for a kile of 14 raṭl of wheat,wheat,1,kile,currency,21,ops,,,,,,,,,,
1884-03-31,AD049434-631A-433D-B436-D1BBD6AEA30E,wheat at Ps 15-20 kile,wheat,1,kile,currency,15,ops,currency,20,ops,,,,,,,
//1884-09-03,FD26B888-DA30-46E2-A3C8-0626E8410B13,the peasants sell the madd of wheat at Ps 4,wheat,1,kile,currency,8,ops,,,,,,,,,,
1884-09-08,EA13A777-9432-4092-A717-BB1CA3BF5182,Best quality of wheat at Ps 20/ kile,wheat,1,kile,currency,20,ops,,,,,,,,,,
1885-06-29,470F1092-2002-431E-8EC8-72C9B8F59CAB,price of cereals in Damascus is currently at Ps 24,wheat,1,kile,currency,24,ops,,,,,,,,,,
1885-07-01,009A28BD-D028-4165-AADF-6B5036BC609A,Wheat at Ps. 17-20/ Constantinople kilesi,wheat,1,kile,currency,17,ops,currency,20,ops,,,,,,,
1886-01-04,0C868275-40D4-4188-8D86-60102783D224,prices of wheat to decrease from Ps 45 per cift to Ps 35,wheat,1,kile,currency,45,ops,currency,35,ops,,,,,,,
1886-04-12,2FCDA864-E5AA-426F-8FD0-7BFC2EEFB9A3,prices of wheat in Tripoli amount to Ps 170 to Ps 180 per Shunbul,wheat,1,kile,currency,56.666666666666664,ops,currency,60,ops,,,,,,,
1886-04-12,BF17068C-5643-4A73-B0E3-340922681D41,prices of cereals are rising in Beirut and Tripoli: the shunbul [also shumbul] of wheat rose from Ps 170 to 180,wheat,1,kile,currency,56.666666666666664,ops,currency,60,ops,,,,,,,
1886-06-01,6FC493CB-219C-41FF-A727-F82A4B9CF421,prices rose to a max of 48p/kile in 1885,wheat,1,kile,currency,48,ops,,,,,,,,,,
1886-06-01,6FC493CB-219C-41FF-A727-F82A4B9CF421,Wheat; which in 1884 sold at from 17 to 20 pias. the kile,wheat,1,kile,currency,17,ops,currency,20,ops,,,,,,,
1886-06-01,6FC493CB-219C-41FF-A727-F82A4B9CF421,rose to from 33 to 48 pias. in 1885,wheat,1,kile,currency,33,ops,currency,48,ops,,,,,,,
1887-03-01,71E3E409-F0FB-40A1-9459-2320CF5F008D,average price of cereals was high; wheat selling at 35 pias. the kilograme,wheat,1,kile,currency,35,ops,,,,,,,,,,
1887-03-01,71E3E409-F0FB-40A1-9459-2320CF5F008D,against 17 pias. and 20 pias. the kilograme in more favourable years,wheat,1,kile,currency,17,ops,currency,20,ops,,,,,,,
1887-09-29,E584965E-562F-454F-822D-C10B02D6ADF1,wheat at Ps 20 to 30,wheat,1,kile,currency,20,ops,currency,30,ops,,,,,,,
1888-01-01,CDD68F96-D34A-4DFE-8AE6-CDDE7C24725E,The bushel of wheat sold at 22 pias.,wheat,1,kile,currency,22,ops,,,,,,,,,,
1889-12-19,F07E4FA3-976A-47DF-8D3A-1FFE3A5AF9A6,wheat fell to Ps 20,wheat,1,kile,currency,20,ops,,,,,,,,,,
1889-05-01,71A8702D-D586-44DE-B2BD-1C9046977D96,Wheat fetched 20 pias. (2s.),wheat,1,kile,currency,20,ops,,,,,,,,,,
1890-10-01,79B3FED0-393C-4B7B-8507-9FC7D5BF39DD,the price of wheat also improved (taḥasannat) in Damascus; where the kile costs now Ps 25,wheat,1,kile,currency,25,ops,,,,,,,,,,
1890-10-23,F4D3F096-4532-4DC5-8313-9DE85B670738,price of wheat fell to a maximum of Ps 24,wheat,1,kile,currency,24,ops,,,,,,,,,,
1890-10-06,57A611D4-07FE-41DB-AA16-3A7982136C44,wheat at Ps 25-26 per bushel,wheat,1,kile,currency,25,ops,currency,26,ops,,,,,,,
1890-05-01,93FF51D0-56D0-42AC-A39C-D675E69D1CEB,Wheat fetched about 16 pias. (2s. 6d.) the bushel,wheat,1,kile,currency,16,ops,,,,,,,,,,
1890-05-01,93FF51D0-56D0-42AC-A39C-D675E69D1CEB,20 pias. (3s.) the previous year,wheat,1,kile,currency,20,ops,,,,,,,,,,
1890-05-05,73B6DB15-F5E6-419D-BAC7-C7AC0DCA6A37,best kind of wheat is now at Ps 25 / bushel,wheat,1,kile,currency,25,ops,,,,,,,,,,
1890-09-18,0562F975-FC03-4CCC-916D-3FF23DB560E5,a cift now costs more than Ps 25,wheat,1,kile,currency,25,ops,,,,,,,,,,
