"month","count","mean.2","mean.3","median.2","median.3","sd.2","sd.3"
1877-10-01,1,35,42,35,42,NA,NA
1877-12-01,3,40.6666666666667,48,40,48,1.15470053837925,NA
1878-02-01,2,42,45,42,45,2.82842712474619,NA
1878-04-01,3,56.6666666666667,NA,60,NA,15.2752523165195,NA
1878-05-01,1,35,NA,35,NA,NA,NA
1878-06-01,1,42,NA,42,NA,NA,NA
1878-07-01,1,22,25,22,25,NA,NA
1878-10-01,1,35,NA,35,NA,NA,NA
1879-04-01,1,27,NA,27,NA,NA,NA
1880-01-01,1,40,NA,40,NA,NA,NA
1880-03-01,2,55,60,55,60,21.2132034355964,NA
1880-04-01,3,385,NA,400,NA,322.76152187025,NA
1882-03-01,1,25,NA,25,NA,NA,NA
1882-11-01,1,23,NA,23,NA,NA,NA
1883-03-01,1,20,NA,20,NA,NA,NA
1883-09-01,2,21.5,24,21.5,24,2.12132034355964,NA
1883-11-01,1,17,24,17,24,NA,NA
1883-12-01,2,18.5,20,18.5,20,4.94974746830583,NA
1884-01-01,1,21,NA,21,NA,NA,NA
1884-03-01,1,15,20,15,20,NA,NA
1884-09-01,2,11,NA,11,NA,12.7279220613579,NA
1885-03-01,1,17,20,17,20,NA,NA
1885-06-01,1,24,NA,24,NA,NA,NA
1886-01-01,1,35,45,35,45,NA,NA
1886-04-01,2,56.6666666666667,60,56.6666666666667,60,0,0
1886-05-01,3,32.6666666666667,34,33,34,15.502687938978,19.7989898732233
1887-02-01,2,26,20,26,20,12.7279220613579,NA
1887-09-01,1,20,30,20,30,NA,NA
1888-08-01,1,22,NA,22,NA,NA,NA
1889-04-01,1,20,NA,20,NA,NA,NA
1889-12-01,1,20,NA,20,NA,NA,NA
1890-03-01,2,18,NA,18,NA,2.82842712474619,NA
1890-05-01,1,25,NA,25,NA,NA,NA
1890-09-01,1,25,NA,25,NA,NA,NA
1890-10-01,3,24.6666666666667,26,25,26,0.577350269189626,NA
1891-02-01,1,22,24,22,24,NA,NA
1891-04-01,1,23,33,23,33,NA,NA
1891-05-01,1,38,40,38,40,NA,NA
1891-06-01,4,31.25,NA,34,NA,5.5,NA
1892-02-01,1,28,31,28,31,NA,NA
1898-05-01,7,35.1428571428571,NA,35,NA,6.96248450455658,NA
1898-09-01,1,42,NA,42,NA,NA,NA
1898-10-01,1,38,NA,38,NA,NA,NA
1901-04-01,1,40,NA,40,NA,NA,NA
1901-09-01,2,29,NA,29,NA,2.82842712474619,NA
1903-07-01,1,22,28,22,28,NA,NA
1904-07-01,1,30,NA,30,NA,NA,NA
1905-10-01,1,23,NA,23,NA,NA,NA
1906-06-01,2,4.25,NA,4.25,NA,1.06066017177982,NA
1908-07-01,1,37.3333333333333,42.6666666666667,37.3333333333333,42.6666666666667,NA,NA
1908-08-01,6,47.5,52,47.5,52,13.6930639376292,10.9544511501033
1908-12-01,2,8.5,NA,8.5,NA,0.707106781186548,NA
1909-03-01,1,45,50,45,50,NA,NA
1909-04-01,2,31.5,NA,31.5,NA,27.5771644662754,NA
1909-07-01,1,10,9,10,9,NA,NA
1910-03-01,1,71.6666666666667,NA,71.6666666666667,NA,NA,NA
1910-04-01,15,48.2666666666667,56.1333333333333,50,56,2.18653890451379,3.0441200151549
1910-05-01,4,44.25,50.25,45,52,1.5,3.5
1910-06-01,5,30.6666666666667,52,26.6666666666667,56.6666666666667,7.22649446289293,11.2051575426477
1910-07-01,4,30.25,12.5,31.5,12.5,26.3486242525108,NA
1910-08-01,3,42.6666666666667,NA,40,NA,4.61880215351701,NA
1910-09-01,23,44.6521739130435,48.0238095238095,46,48.5,2.03623305623117,1.63153448075876
1910-12-01,22,43.5454545454545,46.6818181818182,43.5,47.5,2.5397276330773,2.62563123723409
1911-05-01,5,43.3,44.6666666666667,42,44,3.59861084308932,1.15470053837925
1911-06-01,20,43.875,44.5416666666667,42,44,4.37960284188322,1.85200546500928
1911-07-01,1,30,36,30,36,NA,NA
1911-10-01,8,41.25,44.5714285714286,42,44,2.12132034355964,0.975900072948533
1911-12-01,1,35,37,35,37,NA,NA
1912-01-01,1,40,42,40,42,NA,NA
1912-03-01,2,33.5,NA,33.5,NA,4.94974746830583,NA
1912-04-01,1,37,38,37,38,NA,NA
1913-01-01,1,43,52,43,52,NA,NA
1913-03-01,1,59,65,59,65,NA,NA
1913-04-01,1,55,80,55,80,NA,NA
1913-11-01,2,17,20,17,20,2.82842712474619,2.82842712474619
1914-01-01,2,36.5,NA,36.5,NA,4.94974746830583,NA
1914-03-01,1,40,45,40,45,NA,NA
1914-04-01,3,43,NA,43,NA,1,NA
1915-12-01,3,49.3333333333333,NA,49.5,NA,1.75594229214212,NA
1916-05-01,3,9.66666666666667,NA,10,NA,0.577350269189626,NA
1917-07-01,4,204.583333333333,145,134.166666666667,145,200.902477723784,NA
1918-03-01,10,363.5,545,370,545,151.896346236504,NA
1918-05-01,2,190,NA,190,NA,226.274169979695,NA
NA,12,81.25,51.5,37.5,51.5,149.144301692263,40.3050865276332
