"date";"date.end";"duration";"type";"location.name";"comment";"source";"date.common"
1877-04-24;"";NA;"mutiny";"Damascus";"no exact date";"B0626137-27FD-4274-A33B-03C1AABBF3A5";2000-04-23
1900-11-03;"1900-11-05";NA;"mutiny";"Damascus";"";"";2000-11-02
1901-01-01;"";NA;"mutiny";"Beirut";"Ḥijāz railway";"{Ochsenwald 1980@8}";2000-01-01
1902-11-29;"1902-12-02";NA;"mutiny";"Damascus";"occupation of telegraph office";"{Ochsenwald 1980@8}, MEA";2000-11-28
1903-05-17;"";NA;"mutiny";"Damascus";"soldiers on their way to Yemen";"{Ochsenwald 1980@8-9}";2000-05-16
1904-01-01;"";NA;"mutiny";"Beirut";"no exact date";"{Hanssen 2005@209}, MAE";2000-01-01
1904-03-02;"1904-03-10";NA;"mutiny";"Jidda";"stand-off inside the ʿAkkāsh Mosque";"";2000-03-02
1904-05-29;"1904-08-26";NA;"mutiny";"Jidda";"stand-off inside the ʿAkkāsh Mosque";"";2000-05-29
1904-06-20;"";NA;"mutiny";"Damascus";"stand-off inside the Umayyad Mosque";"";2000-06-20
1906-05-22;"";NA;"mutiny";"Mecca";"";"{Ochsenwald 1980@128}, PRO FO";2000-05-21
1913-05-22;"";NA;"mutiny";"Damascus";"700 redifs from Yemen";"";2000-05-21
1913-06-19;"";NA;"mutiny";"Damascus";"150 redifs from al-Nabk, stand-off inside the Umayyad Mosque";"";2000-06-18
