"date","date.end","duration","type","location.name","comment","source","date.common"
1882-06-29,"",NA,"prison riot","Damascus","60 prisoners escaped from the citadel","F4BF7FE2-B79A-4DA1-9802-CEA0CAA4924C 8D652629-AE8E-4FE2-AE85-525DAFF88BB8 527B8A5E-FCD0-4909-806E-2D80A0223E23 E03B77C2-1595-4C6D-9B0D-CC7E372E8C7B",2000-06-28
1892-01-24,"",NA,"prison riot","Beirut","60 prisoners escaped","26491973-8B41-44E9-A0D8-B6548DF0FA78",2000-01-24
1894-05-16,"",NA,"prison riot","Damascus","","D0EA12EB-FD68-4759-BA61-E20044642061 8C333341-36D1-496F-8591-CED7B55CE427 813B6017-812A-4DC8-B10C-A5ECB1D4B73C",2000-05-15
1901-09-25,"",NA,"prison riot","Beirut","","35E653F6-E0D3-4041-8BDF-AA6E996E18EF ",2000-09-24
1903-07-04,"",NA,"prison riot","Damascus","riots between prisoners inside the citadel","1BE2F995-5B70-497E-9C3C-B5775BB0CFE6",2000-07-03
1903-07-05,"",NA,"prison riot","Damascus","riots between prisoners inside the citadel","1BE2F995-5B70-497E-9C3C-B5775BB0CFE6",2000-07-04
1908-10-01,"",NA,"prison riot","Beit al-Dīn","41 prisoners escaped "," 50E5E13A-9632-48CA-B3D1-8A2B5B424F18",2000-10-01
1909-02-27,"",NA,"prison riot","Damascus","","404B21AC-F274-4BF7-AD0E-F967338BD9AF",2000-02-27
1909-04-27,"1909-04-28",NA,"prison riot","Damascus","day of the disposal of ʿAbdülḥamīd II","654459BC-FBDF-47E1-B910-CC2F0368160A 77EAEBE1-5CC7-43B6-94CD-7C34AA428C00 62F11794-F71A-4F81-A963-6240B77F020B",2000-04-26
1910-08-11,"",NA,"prison riot","Beirut","","983667F1-2FD0-401B-A6E8-0B946A3EE3D5 5C8DE296-0773-4CC6-8C21-9510E79DD631",2000-08-10
1911-06-21,"",NA,"prison riot","Damascus","some Druze prisoners escaped from the citadel","1D78B9D9-3928-4FBE-90B3-828CDAC5C217",2000-06-20
1912-09-01,"",NA,"prison riot","Damascus","riots between prisoners inside the prison","7C55E068-55A2-4CAC-B43C-EE16AAF36688",2000-09-01
1913-05-20,"",NA,"prison riot","Damascus","riots between prisoners inside the citadel","F9C6D1B6-CD84-4067-8BEF-A6B2A24491E5",2000-05-19
