"location.name","lat","long","date","commodity","unit","currency","quantity.total","quantity.mean","value.mean"
"Acre",32.923925,35.07063,1889-01-01,"cereals","kg","gbp",1133985,1133985,135985
"Acre",32.923925,35.07063,1889-01-01,"maize","kg","gbp",448952,448952,39283
"Acre",32.923925,35.07063,1890-01-01,"cereals","kg","gbp",1679768,1679768,247334
"Acre",32.923925,35.07063,1890-01-01,"maize","kg","gbp",221464,221464,21725
"Adana",NA,NA,1890-01-01,"barley","kg","gbp",60200721.5537073,60200721.5537073,189500
"Adana",NA,NA,1890-01-01,"millet","kg","gbp",2133696.4601314,2133696.4601314,8650
"Adana",NA,NA,1890-01-01,"wheat","kg","gbp",48465391.0229846,48465391.0229846,283000
"Adana",NA,NA,1891-01-01,"barley","kg","gbp",67567054.5708276,67567054.5708276,340400
"Adana",NA,NA,1891-01-01,"millet","kg","gbp",4978625.07363993,4978625.07363993,24500
"Adana",NA,NA,1891-01-01,"wheat","kg","gbp",101604593.33959,101604593.33959,633000
"Adana",NA,NA,1892-01-01,"barley","kg","gbp",9550831.7739215,9550831.7739215,38100
"Adana",NA,NA,1892-01-01,"millet","kg","gbp",508022.966697952,508022.966697952,2500
"Adana",NA,NA,1892-01-01,"oats","kg","gbp",8433181.247186,8433181.247186,31200
"Adana",NA,NA,1892-01-01,"rye","kg","gbp",1625673.49343345,1625673.49343345,8000
"Adana",NA,NA,1892-01-01,"wheat","kg","gbp",56898572.2701706,56898572.2701706,325000
"Adana",NA,NA,1893-01-01,"barley","kg","gbp",9855645.55394027,4927822.77697014,15500
"Adana",NA,NA,1893-01-01,"millet","kg","gbp",1676475.79010324,838237.895051621,3300
"Adana",NA,NA,1893-01-01,"oats","kg","gbp",16480265.0396816,8240132.51984078,32500
"Adana",NA,NA,1893-01-01,"wheat","kg","gbp",23019536.6670176,11509768.3335088,50000
"Adana",NA,NA,1894-01-01,"barley","kg","gbp",5045684.10524406,5045684.10524406,14989
"Adana",NA,NA,1894-01-01,"millet","kg","gbp",680750.775375256,680750.775375256,3685
