"TimeStamp","duration","Name","source","orig.data","commodity","quantity","unit","value","currency","X","Latitude","Longitude"
1889-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","wheat | ton | 15173 | gbp | 85000","wheat",15416464.9474161,"kg",85000,"gbp",NA,NA,NA
1888-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","wheat | ton | 7560 | gbp | 40320","wheat",7681307.25647303,"kg",40320,"gbp",NA,NA,NA
1889-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","barley | ton | 8100 | gbp | 25800","barley",8229972.06050682,"kg",25800,"gbp",NA,NA,NA
1888-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","barley | ton | 4045 | gbp | 17120","barley",4109905.80058643,"kg",17120,"gbp",NA,NA,NA
1889-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","oats | ton | 712 | gbp | 2400","oats",723424.704577884,"kg",2400,"gbp",NA,NA,NA
1888-01-01,"P1Y","Mersin","2B2DFE93-9930-4C62-92B6-56F2E166130F","oats | ton | 700 | gbp | 2628","oats",711232.153377133,"kg",2628,"gbp",NA,NA,NA
1890-01-01,"P1Y","Acre","40DC073A-5404-4AFD-BE1D-7AFC650DE6B2","cereals | bushel | 1679768 | gbp | 247334","cereals",1679768,"kg",247334,"gbp",NA,32.923925,35.07063
1889-01-01,"P1Y","Acre","40DC073A-5404-4AFD-BE1D-7AFC650DE6B2","cereals | bushel | 1133985 | gbp | 135985","cereals",1133985,"kg",135985,"gbp",NA,32.923925,35.07063
1890-01-01,"P1Y","Acre","40DC073A-5404-4AFD-BE1D-7AFC650DE6B2","maize | bushel | 221464 | gbp | 21725","maize",221464,"kg",21725,"gbp",NA,32.923925,35.07063
1889-01-01,"P1Y","Acre","40DC073A-5404-4AFD-BE1D-7AFC650DE6B2","maize | bushel | 448952 | gbp | 39283","maize",448952,"kg",39283,"gbp",NA,32.923925,35.07063
1891-01-01,"P1Y","Alexandretta","ABDA2C1D-2396-475F-B922-B3307910D959","cereals | ton | 19496 | gbp | 113004","cereals",19808831.5174865,"kg",113004,"gbp",NA,NA,NA
1890-01-01,"P1Y","Alexandretta","ABDA2C1D-2396-475F-B922-B3307910D959","cereals | ton | 14945 | gbp | 85752","cereals",15184806.4746018,"kg",85752,"gbp",NA,NA,NA
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 62000 | gbp | 393000","wheat",62994847.8705461,"kg",393000,"gbp",NA,NA,NA
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 28850 | gbp | 16500","wheat",29312925.1784718,"kg",16500,"gbp",NA,NA,NA
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","barley | ton | 31500 | gbp | 22500","barley",32005446.901971,"kg",22500,"gbp",NA,NA,NA
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","barley | ton | 18250 | gbp | 58500","barley",18542838.2844752,"kg",58500,"gbp",NA,NA,NA
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","oats | ton | 5600 | gbp | 22500","oats",5689857.22701706,"kg",22500,"gbp",NA,NA,NA
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","oats | ton | 10300 | gbp | 33000","oats",10465273.1139778,"kg",33000,"gbp",NA,NA,NA
1891-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","millet | ton | 1900 | gbp | 9500","millet",1930487.27345222,"kg",9500,"gbp",NA,NA,NA
1890-01-01,"P1Y","Mersin","ABDA2C1D-2396-475F-B922-B3307910D959","millet | ton | 600 | gbp | 1650","millet",609627.560037542,"kg",1650,"gbp",NA,NA,NA
1891-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 100000 | gbp | 633000","wheat",101604593.33959,"kg",633000,"gbp",NA,NA,NA
1890-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","wheat | ton | 47700 | gbp | 283000","wheat",48465391.0229846,"kg",283000,"gbp",NA,NA,NA
1891-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","barley | ton | 66500 | gbp | 340400","barley",67567054.5708276,"kg",340400,"gbp",NA,NA,NA
1890-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","barley | ton | 59250 | gbp | 189500","barley",60200721.5537073,"kg",189500,"gbp",NA,NA,NA
1891-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","millet | ton | 4900 | gbp | 24500","millet",4978625.07363993,"kg",24500,"gbp",NA,NA,NA
1890-01-01,"P1Y","Adana","ABDA2C1D-2396-475F-B922-B3307910D959","millet | ton | 2100 | gbp | 8650","millet",2133696.4601314,"kg",8650,"gbp",NA,NA,NA
1891-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","wheat | qr | 2695 | gbp | 3300","wheat",34228.0799663754,"kg",3300,"gbp",NA,32.05043,34.75224
1890-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","wheat | qr | 20805 | gbp | 19920","wheat",264235.697105914,"kg",19920,"gbp",NA,32.05043,34.75224
1891-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","maize | qr | 18325 | gbp | 17300","maize",232738.243185094,"kg",17300,"gbp",NA,32.05043,34.75224
1890-01-01,"P1Y","Jaffa","4E6DC2B2-9835-496C-A069-E706B7277DE0","maize | qr | 17476 | gbp | 11240","maize",221955.445451716,"kg",11240,"gbp",NA,32.05043,34.75224
