"month","count","mean.2","mean.3","median.2","median.3","sd.2","sd.3"
1878-06-01,1,2,NA,2,NA,NA,NA
1883-03-01,1,12,9,12,9,NA,NA
1883-09-01,1,12,14,12,14,NA,NA
1883-12-01,1,11,12,11,12,NA,NA
1884-03-01,1,11,13,11,13,NA,NA
1885-03-01,1,14,9,14,9,NA,NA
1886-05-01,2,16,17.5,16,17.5,2.82842712474619,12.0208152801713
1887-09-01,1,11,13,11,13,NA,NA
1888-08-01,1,11,NA,11,NA,NA,NA
1889-04-01,1,9,NA,9,NA,NA,NA
1890-03-01,2,8,NA,8,NA,1.4142135623731,NA
1901-04-01,1,20,NA,20,NA,NA,NA
1903-07-01,1,11,NA,11,NA,NA,NA
1908-07-01,1,13.3333333333333,14.6666666666667,13.3333333333333,14.6666666666667,NA,NA
1909-07-01,1,5.5,6,5.5,6,NA,NA
1910-03-01,1,43.3333333333333,NA,43.3333333333333,NA,NA,NA
1910-04-01,15,24.0666666666667,28,24,28,0.258198889747161,0
1910-05-01,4,24,28,24,28,0,0
1910-08-01,1,19,22,19,22,NA,NA
1910-09-01,7,19.8571428571429,22.4285714285714,20,22.5,0.377964473009227,0.188982236504614
1910-12-01,11,19.5454545454545,21.9090909090909,21,23,2.01809991643805,1.51357493732854
1911-05-01,1,21,22,21,22,NA,NA
1911-06-01,4,20,21.5,21,22,2,1
1911-07-01,1,18,NA,18,NA,NA,NA
1911-10-01,7,20,23.7142857142857,20,22,0,2.9277002188456
1913-11-01,1,10,11.5,10,11.5,NA,NA
1914-04-01,3,20,NA,20,NA,2,NA
1918-03-01,2,190,NA,190,NA,70.7106781186548,NA
NA,1,12,14,12,14,NA,NA
