"date","duration","location","source","orig.data","commodity","quantity","unit","price.min","price.max","X","year","quarter","month","week","date.common","month.common"
1858-01-01,"","Bayrūt","258FC9E7-A9B3-4EB3-BA59-C99A9D208F21","Beirut and Mount Lebanon: Ps 120 per year","newspaper",1,"day",0.328767123287671,NA,"",1858-01-01,1858-01-01,1858-01-01,1857-12-28,2000-01-01,2000-01-01
1858-01-01,"","Bayrūt","258FC9E7-A9B3-4EB3-BA59-C99A9D208F21","Ottoman Empire: Ps 144 per year","newspaper",1,"day",0.394520547945205,NA,"",1858-01-01,1858-01-01,1858-01-01,1857-12-28,2000-01-01,2000-01-01
1861-12-19,"","Bayrūt","90A58F6E-5D5C-4589-A432-E3AAB60BBDD1","Beirut and Mount Lebanon: Ps 120 per year","newspaper",1,"day",0.328767123287671,NA,"",1861-01-01,1861-10-01,1861-12-01,1861-12-16,2000-12-18,2000-12-01
1861-12-19,"","Bayrūt","90A58F6E-5D5C-4589-A432-E3AAB60BBDD1","Ottoman Empire: Ps 144 per year","newspaper",1,"day",0.394520547945205,NA,"",1861-01-01,1861-10-01,1861-12-01,1861-12-16,2000-12-18,2000-12-01
1861-12-26,"","Bayrūt","26FA3000-73E3-45CD-A0FF-4FA370CFD77A","Beirut; Mount Lebanon; Mosul; and Baghdad: 5 Mecidiye; 5 Frcs per year","newspaper",1,"day",0.0136986301369863,0.273972602739726,"",1861-01-01,1861-10-01,1861-12-01,1861-12-23,2000-12-25,2000-12-01
1861-12-26,"","Bayrūt","26FA3000-73E3-45CD-A0FF-4FA370CFD77A","Damascus; Aleppo; Constantinople; Egypt; and all costal areas: 6 Mecidiye; 5 Frcs per year","newspaper",1,"day",0.0136986301369863,0.328767123287671,"",1861-01-01,1861-10-01,1861-12-01,1861-12-23,2000-12-25,2000-12-01
1861-12-26,"","Bayrūt","26FA3000-73E3-45CD-A0FF-4FA370CFD77A","Gaza; Nablus; Jerusalem; Hama; Homs: 7 Mecidiye; 5 Frcs per year","newspaper",1,"day",0.0136986301369863,0.383561643835616,"",1861-01-01,1861-10-01,1861-12-01,1861-12-23,2000-12-25,2000-12-01
1861-12-26,"","Bayrūt","26FA3000-73E3-45CD-A0FF-4FA370CFD77A","Adana; Europe; Western countries; India; and China: 8 Mecidiye; 5 Frcs per year","newspaper",1,"day",0.0136986301369863,0.438356164383562,"",1861-01-01,1861-10-01,1861-12-01,1861-12-23,2000-12-25,2000-12-01
1862-12-25,"","Bayrūt","6C846DE9-FC3C-4BB4-B8B4-15B140E1572F","Beirut; Mount Lebanon; Mosul; and Baghdad: 5 Mecidiye; 5 Frcs per year","newspaper",1,"day",0.0136986301369863,0.273972602739726,"",1862-01-01,1862-10-01,1862-12-01,1862-12-22,2000-12-24,2000-12-01
1862-12-25,"","Bayrūt","6C846DE9-FC3C-4BB4-B8B4-15B140E1572F","Damascus; Aleppo; Constantinople; Egypt; and all costal areas: 6 Mecidiye; 5 Frcs per year","newspaper",1,"day",0.0136986301369863,0.328767123287671,"",1862-01-01,1862-10-01,1862-12-01,1862-12-22,2000-12-24,2000-12-01
1862-12-25,"","Bayrūt","6C846DE9-FC3C-4BB4-B8B4-15B140E1572F","Gaza; Nablus; Jerusalem; Hama; Homs: 7 Mecidiye; 5 Frcs per year","newspaper",1,"day",0.0136986301369863,0.383561643835616,"",1862-01-01,1862-10-01,1862-12-01,1862-12-22,2000-12-24,2000-12-01
1862-12-25,"","Bayrūt","6C846DE9-FC3C-4BB4-B8B4-15B140E1572F","Adana; Europe; Western countries; India; and China: 8 Mecidiye; 5 Frcs per year","newspaper",1,"day",0.0136986301369863,0.438356164383562,"",1862-01-01,1862-10-01,1862-12-01,1862-12-22,2000-12-24,2000-12-01
1863-01-01,"","Bayrūt","A70A5471-A68C-48D8-968E-0B64F75F1CDC","Beirut; Mount Lebanon; Mosul; and Baghdad: Ps 120 per year","newspaper",1,"day",0.328767123287671,NA,"",1863-01-01,1863-01-01,1863-01-01,1862-12-29,2000-01-01,2000-01-01
1863-01-01,"","Bayrūt","A70A5471-A68C-48D8-968E-0B64F75F1CDC","Damascus; Aleppo; Constantinople; Egypt; and all costal areas: Ps 144 per year","newspaper",1,"day",0.394520547945205,NA,"",1863-01-01,1863-01-01,1863-01-01,1862-12-29,2000-01-01,2000-01-01
1863-01-01,"","Bayrūt","A70A5471-A68C-48D8-968E-0B64F75F1CDC","Gaza; Nablus; Jerusalem; Hama; Homs: Ps 168 per year","newspaper",1,"day",0.46027397260274,NA,"",1863-01-01,1863-01-01,1863-01-01,1862-12-29,2000-01-01,2000-01-01
1863-01-01,"","Bayrūt","A70A5471-A68C-48D8-968E-0B64F75F1CDC","Adana; Yirbā [Europe]; Western countries; India; and China: Ps 192 per year","newspaper",1,"day",0.526027397260274,NA,"",1863-01-01,1863-01-01,1863-01-01,1862-12-29,2000-01-01,2000-01-01
1863-12-31,"","Bayrūt","0E9D5166-73E1-4362-837A-08CD42AD61E0","Beirut; Mount Lebanon; Mosul; and Baghdad: Ps 120 per year","newspaper",1,"day",0.328767123287671,NA,"",1863-01-01,1863-10-01,1863-12-01,1863-12-28,2000-12-30,2000-12-01
1863-12-31,"","Bayrūt","0E9D5166-73E1-4362-837A-08CD42AD61E0","Damascus; Aleppo; Constantinople; Egypt; and all costal areas: Ps 144 per year","newspaper",1,"day",0.394520547945205,NA,"",1863-01-01,1863-10-01,1863-12-01,1863-12-28,2000-12-30,2000-12-01
1863-12-31,"","Bayrūt","0E9D5166-73E1-4362-837A-08CD42AD61E0","Gaza; Nablus; Jerusalem; Hama; Homs: Ps 168 per year","newspaper",1,"day",0.46027397260274,NA,"",1863-01-01,1863-10-01,1863-12-01,1863-12-28,2000-12-30,2000-12-01
1863-12-31,"","Bayrūt","0E9D5166-73E1-4362-837A-08CD42AD61E0","Adana; Yirbā [Europe]; Western countries; India; and China: Ps 192 per year","newspaper",1,"day",0.526027397260274,NA,"",1863-01-01,1863-10-01,1863-12-01,1863-12-28,2000-12-30,2000-12-01
1864-05-12,"","Bayrūt","2C579231-4E5B-488B-B594-914C475F3E58","Beirut; Mount Lebanon; Mosul; and Baghdad: Ps 120 per year","newspaper",1,"day",0.328767123287671,NA,"",1864-01-01,1864-04-01,1864-05-01,1864-05-09,2000-05-12,2000-05-01
1864-05-12,"","Bayrūt","2C579231-4E5B-488B-B594-914C475F3E58","Damascus; Aleppo; Constantinople; Egypt; and all costal areas: Ps 144 per year","newspaper",1,"day",0.394520547945205,NA,"",1864-01-01,1864-04-01,1864-05-01,1864-05-09,2000-05-12,2000-05-01
1864-05-12,"","Bayrūt","2C579231-4E5B-488B-B594-914C475F3E58","Gaza; Nablus; Jerusalem; Hama; Homs: Ps 168 per year","newspaper",1,"day",0.46027397260274,NA,"",1864-01-01,1864-04-01,1864-05-01,1864-05-09,2000-05-12,2000-05-01
1864-05-12,"","Bayrūt","2C579231-4E5B-488B-B594-914C475F3E58","Adana; Yirbā [Europe]; Western countries; India; and China: Ps 192 per year","newspaper",1,"day",0.526027397260274,NA,"",1864-01-01,1864-04-01,1864-05-01,1864-05-09,2000-05-12,2000-05-01
1864-05-19,"","Bayrūt","BC1EBD13-F81F-4106-A668-0CCA6A91604F","Beirut; Mount Lebanon; Mosul; and Baghdad: Ps 120 per year","newspaper",1,"day",0.328767123287671,NA,"",1864-01-01,1864-04-01,1864-05-01,1864-05-16,2000-05-19,2000-05-01
1864-05-19,"","Bayrūt","BC1EBD13-F81F-4106-A668-0CCA6A91604F","Damascus; Aleppo; Constantinople; Egypt; and all costal areas: Ps 144 per year","newspaper",1,"day",0.394520547945205,NA,"",1864-01-01,1864-04-01,1864-05-01,1864-05-16,2000-05-19,2000-05-01
1864-05-19,"","Bayrūt","BC1EBD13-F81F-4106-A668-0CCA6A91604F","Gaza; Nablus; Jerusalem; Hama; Homs: Ps 168 per year","newspaper",1,"day",0.46027397260274,NA,"",1864-01-01,1864-04-01,1864-05-01,1864-05-16,2000-05-19,2000-05-01
1864-05-19,"","Bayrūt","BC1EBD13-F81F-4106-A668-0CCA6A91604F","Adana; Yirbā [Europe]; Western countries; India; and China: Ps 162 per year","newspaper",1,"day",0.443835616438356,NA,"",1864-01-01,1864-04-01,1864-05-01,1864-05-16,2000-05-19,2000-05-01
1865-02-16,"","Bayrūt","105B506F-8262-4824-93E2-824E416AD768","Beirut; Mount Lebanon; Mosul; and Baghdad: Ps 120 per year","newspaper",1,"day",0.328767123287671,NA,"",1865-01-01,1865-01-01,1865-02-01,1865-02-13,2000-02-16,2000-02-01
1865-02-16,"","Bayrūt","105B506F-8262-4824-93E2-824E416AD768","Damascus; Aleppo; Constantinople; Egypt; and all costal areas: Ps 144 per year","newspaper",1,"day",0.394520547945205,NA,"",1865-01-01,1865-01-01,1865-02-01,1865-02-13,2000-02-16,2000-02-01
1865-02-16,"","Bayrūt","105B506F-8262-4824-93E2-824E416AD768","Gaza; Nablus; Jerusalem; Hama; Homs: Ps 186 per year","newspaper",1,"day",0.50958904109589,NA,"",1865-01-01,1865-01-01,1865-02-01,1865-02-13,2000-02-16,2000-02-01
1865-02-16,"","Bayrūt","105B506F-8262-4824-93E2-824E416AD768","Adana; Yirbā [Europe]; Western countries; India; and China: Ps 162 per year","newspaper",1,"day",0.443835616438356,NA,"",1865-01-01,1865-01-01,1865-02-01,1865-02-13,2000-02-16,2000-02-01
1870-07-03,"","Bayrūt","543FC9F6-DF66-4D73-B9A8-DFFC6105A769","in Beirut: Ps 50 per year","newspaper",1,"day",0.136986301369863,NA,"",1870-01-01,1870-07-01,1870-07-01,1870-06-27,2000-07-02,2000-07-01
1870-07-03,"","Bayrūt","543FC9F6-DF66-4D73-B9A8-DFFC6105A769","outside: Ps 60 per year; due to postage fees","newspaper",1,"day",0.164383561643836,NA,"",1870-01-01,1870-07-01,1870-07-01,1870-06-27,2000-07-02,2000-07-01
1871-01-07,"","Bayrūt","1DC62F63-5DFA-4D19-BFEB-DC56CF70CC6E","in Beirut: Ps 50 per year","newspaper",1,"day",0.136986301369863,NA,"",1871-01-01,1871-01-01,1871-01-01,1871-01-02,2000-01-07,2000-01-01
1871-01-07,"","Bayrūt","1DC62F63-5DFA-4D19-BFEB-DC56CF70CC6E","outside: Ps 60 per year; due to postage fees","newspaper",1,"day",0.164383561643836,NA,"",1871-01-01,1871-01-01,1871-01-01,1871-01-02,2000-01-07,2000-01-01
1871-04-01,"","Bayrūt","CF004581-872F-4BC2-8F50-DB726FDEB617","in Beirut: Ps 50 per year","newspaper",1,"day",0.136986301369863,NA,"",1871-01-01,1871-04-01,1871-04-01,1871-03-27,2000-03-31,2000-03-01
1871-04-01,"","Bayrūt","CF004581-872F-4BC2-8F50-DB726FDEB617","outside: Ps 60 per year; due to postage fees","newspaper",1,"day",0.164383561643836,NA,"",1871-01-01,1871-04-01,1871-04-01,1871-03-27,2000-03-31,2000-03-01
1871-12-02,"","Bayrūt","1660D51F-BA72-4034-A7F5-E9374A9ACD1D","in Beirut: Ps 50 per year","newspaper",1,"day",0.136986301369863,NA,"",1871-01-01,1871-10-01,1871-12-01,1871-11-27,2000-12-01,2000-12-01
1871-12-02,"","Bayrūt","1660D51F-BA72-4034-A7F5-E9374A9ACD1D","outside: Ps 65 per year; due to postage fees","newspaper",1,"day",0.178082191780822,NA,"",1871-01-01,1871-10-01,1871-12-01,1871-11-27,2000-12-01,2000-12-01
1871-12-02,"","Bayrūt","1660D51F-BA72-4034-A7F5-E9374A9ACD1D","Ps 1 for a single copy","newspaper",1,"issue",1,NA,"",1871-01-01,1871-10-01,1871-12-01,1871-11-27,2000-12-01,2000-12-01
1872-01-02,"","Bayrūt","6FCC585B-5C93-47B0-8C13-FB297FA0D1BE","in Beirut: Ps 50 per year","newspaper",1,"day",0.136986301369863,NA,"",1872-01-01,1872-01-01,1872-01-01,1872-01-01,2000-01-02,2000-01-01
1872-01-02,"","Bayrūt","6FCC585B-5C93-47B0-8C13-FB297FA0D1BE","outside: Ps 65 per year; due to postage fees","newspaper",1,"day",0.178082191780822,NA,"",1872-01-01,1872-01-01,1872-01-01,1872-01-01,2000-01-02,2000-01-01
1872-01-02,"","Bayrūt","6FCC585B-5C93-47B0-8C13-FB297FA0D1BE","Ps 1 for a single copy","newspaper",1,"issue",1,NA,"",1872-01-01,1872-01-01,1872-01-01,1872-01-01,2000-01-02,2000-01-01
1873-01-04,"","Bayrūt","92D3F750-B80A-423F-B112-1473BFD6D8D5","in Beirut: Ps 50 per year","newspaper",1,"day",0.136986301369863,NA,"",1873-01-01,1873-01-01,1873-01-01,1872-12-30,2000-01-04,2000-01-01
1873-01-04,"","Bayrūt","92D3F750-B80A-423F-B112-1473BFD6D8D5","outside: Ps 65 per year; due to postage fees","newspaper",1,"day",0.178082191780822,NA,"",1873-01-01,1873-01-01,1873-01-01,1872-12-30,2000-01-04,2000-01-01
1873-01-04,"","Bayrūt","92D3F750-B80A-423F-B112-1473BFD6D8D5","Ps 1 for a single copy","newspaper",1,"issue",1,NA,"",1873-01-01,1873-01-01,1873-01-01,1872-12-30,2000-01-04,2000-01-01
1874-01-02,"","Bayrūt","B9F98FAB-7CFA-4397-9E84-A1DC73E0D301","in Beirut: Ps 50 per year","newspaper",1,"day",0.136986301369863,NA,"",1874-01-01,1874-01-01,1874-01-01,1873-12-29,2000-01-02,2000-01-01
1874-01-02,"","Bayrūt","B9F98FAB-7CFA-4397-9E84-A1DC73E0D301","outside: Ps 65 per year; due to postage fees","newspaper",1,"day",0.178082191780822,NA,"",1874-01-01,1874-01-01,1874-01-01,1873-12-29,2000-01-02,2000-01-01
