"schema.date","duration","schema.Place","source","orig.data","commodity","quantity","unit","price.min","currency","price.max","X","schema.latitude","schema.longitude","schema.language","schema.identifier","year","quarter","month","week","date.common","month.common","price.avg","dm.min","dm.max","dm.avg","dmp.min","dmp.max","dmp.avg"
1858-03-01,"","Beirut","A6A37DA4-5810-4073-91C0-494E64AB65FB","best wheatPs 9","wheat",1,"kile",9,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1858-01-01,1858-01-01,1858-03-01,1858-03-01,2000-02-29,2000-02-01,9,-30.270727340473,NA,-31.7435519723338,-77.0821662609634,NA,-77.9106151419707
1858-03-25,"","Beirut","A6A37DA4-5810-4073-91C0-494E64AB65FB","best wheatPs 13","wheat",1,"kile",13,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1858-01-01,1858-01-01,1858-03-01,1858-03-22,2000-03-24,2000-03-01,13,-26.270727340473,NA,-27.7435519723338,-66.8964623769471,NA,-68.0931107606243
1858-03-25,"","Beirut","A6A37DA4-5810-4073-91C0-494E64AB65FB","best wheat 14","wheat",1,"kile",14,"ops",NA,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1858-01-01,1858-01-01,1858-03-01,1858-03-22,2000-03-24,2000-03-01,14,-25.270727340473,NA,-26.7435519723338,-64.350036405943,NA,-65.6387346652877
1858-04-03,"P7D","Beirut","A6A37DA4-5810-4073-91C0-494E64AB65FB","price of wheat: the kile rose from Ps 17 to 22","wheat",1,"kile",17,"ops",22,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1858-01-01,1858-04-01,1858-04-01,1858-03-29,2000-04-02,2000-04-01,19.5,-22.270727340473,-22.6441993464052,-21.2435519723338,-56.7107584929308,-50.7214815763709,-52.1396661409365
1858-04-12,"P7D","Damascus","BF2600B2-351A-4758-B762-88DC7B737C37","the price [of wheat] is between Ps 10 and 13","wheat",1,"kile",10,"ops",13,"",33.5102,36.29128,"en","https://www.geonames.org/170654",1858-01-01,1858-04-01,1858-04-01,1858-04-12,2000-04-11,2000-04-01,11.5,-29.270727340473,-31.6441993464052,-29.2435519723338,-74.5357402899593,-70.8808754769464,-71.7746749036292
1858-08-07,"P7D","Beirut","8C041CB1-995E-4A82-BB32-DC95C41F73B9","Wheat rose from Ps 15 to Ps 20","wheat",1,"kile",15,"ops",20,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1858-01-01,1858-07-01,1858-08-01,1858-08-02,2000-08-06,2000-08-01,17.5,-24.270727340473,-24.6441993464052,-23.2435519723338,-61.803610434939,-55.2013468876099,-57.0484183316097
1858-12-04,"P7D","Beirut","3D341D9B-F92C-4847-BD49-4395597C342D","The price of wheat is Ps 18 to 23","wheat",1,"kile",18,"ops",23,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1858-01-01,1858-10-01,1858-12-01,1858-11-29,2000-12-03,2000-12-01,20.5,-21.270727340473,-21.6441993464052,-20.2435519723338,-54.1643325219268,-48.4815489207514,-49.6852900455999
1859-12-29,"P7D","Beirut","CFC63F55-2B97-4EE1-A35E-D8C34065DB87","Egyptian wheat: Ps 31 to 32","wheat",1,"kile",31,"ops",32,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1859-01-01,1859-10-01,1859-12-01,1859-12-26,2000-12-28,2000-12-01,31.5,-8.270727340473,-12.6441993464052,-9.24355197233378,-21.0607948988739,-28.3221550201759,-22.6871529968974
1859-12-29,"P7D","Beirut","CFC63F55-2B97-4EE1-A35E-D8C34065DB87","tujārī wheat: Ps 28 to 30","wheat",1,"kile",28,"ops",30,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1859-01-01,1859-10-01,1859-12-01,1859-12-26,2000-12-28,2000-12-01,29,-11.270727340473,-14.6441993464052,-11.7435519723338,-28.7000728118861,-32.8020203314149,-28.8230932352389
1859-12-29,"P7D","Beirut","CFC63F55-2B97-4EE1-A35E-D8C34065DB87","wheat from the Ḥawrān: Ps 38 to 40","wheat",1,"kile",38,"ops",40,"",33.88894,35.49442,"en","https://www.geonames.org/276781",1859-01-01,1859-10-01,1859-12-01,1859-12-26,2000-12-28,2000-12-01,39,-1.270727340473,-4.64419934640523,-1.74355197233378,-3.23581310184538,-10.4026937752198,-4.27933228187298
