"year","count","mean.min","mean.max","median.min","median.max","sd.min","sd.max"
1832-01-01,1,18,NA,18,NA,NA,NA
1858-01-01,28,17.875,22.175,18,22.5,4.61002329872798,4.95047844577726
1859-01-01,53,25.751572327044,28.5238095238095,27,28.5,4.98476553485819,4.31242162311581
1860-01-01,34,37.3705882352941,37.5,36.5,37,8.12569920205527,5.42261578066913
1861-01-01,16,29.884375,30.4545454545455,26.5,28,9.22174457012699,6.81709082180422
1862-01-01,2,20,11.6666666666667,20,11.6666666666667,14.142135623731,NA
1872-01-01,3,20,25,20,25,0,NA
1876-01-01,2,61.1111111111111,57.7777777777778,61.1111111111111,57.7777777777778,14.142135623731,NA
1877-01-01,5,39.4,45,40,45,2.60768096208106,4.24264068711928
1878-01-01,10,42.12,38.5,41,40.5,13.9813208722686,10.3440804327886
1879-01-01,8,49,80,45,80,16.2392821797728,NA
1880-01-01,11,138.666666363636,NA,60,NA,214.901269499378,NA
1881-01-01,1,29,NA,29,NA,NA,NA
1882-01-01,4,22,NA,23,NA,3.46410161513775,NA
1883-01-01,6,19.5,22.6666666666667,20,24,3.01662062579967,2.3094010767585
1884-01-01,3,12.3333333333333,20,15,20,9.29157324317757,NA
1885-01-01,5,27.8,20,24,20,13.0652210084637,0
1886-01-01,5,39.1111111111111,48.25,35,46.5,21.7269815757979,24.6086028318012
1887-01-01,3,24,25,20,25,9.64365076099295,7.07106781186548
1888-01-01,4,20.5,NA,20,NA,1,NA
1889-01-01,2,18,NA,18,NA,2.82842712474619,NA
1890-01-01,7,22.8571428571429,26,25,26,3.53216512583861,NA
1891-01-01,7,29.7142857142857,32.3333333333333,34,33,6.75066134326323,8.02080627701064
1892-01-01,1,28,31,28,31,NA,NA
1898-01-01,9,36.2222222222222,NA,38,NA,6.47645307590848,NA
1901-01-01,3,32.6666666666667,NA,31,NA,6.65832811847939,NA
1902-01-01,1,22,28,22,28,NA,NA
1904-01-01,1,30,NA,30,NA,NA,NA
1905-01-01,1,23,NA,23,NA,NA,NA
1906-01-01,2,4.25,NA,4.25,NA,1.06066017177982,NA
1908-01-01,9,37.7037037037037,50.6666666666667,35,42.6666666666667,20.0613257319514,10.6039824803912
1909-01-01,4,29.5,29.5,28.5,29.5,21.51743479135,28.9913780286484
1910-01-01,81,44.2578875171468,49.8214285714286,45,49,8.4353172011551,5.37606083817192
1911-01-01,34,42.1470588235294,43.8958333333333,42,44,3.99721382466229,2.68643600441125
1912-01-01,6,37.2222222222222,44.6666666666667,37,42,4.44555541670138,8.2192186706253
1913-01-01,8,50.75,54.5714285714286,57,65,23.7892532759768,25.5464096815785
1914-01-01,6,40.3333333333333,45,41,45,3.9327683210007,NA
1915-01-01,13,41.8076923076923,42.65,40,43.25,5.84714482154347,4.58893596962666
1916-01-01,4,27.25,NA,25,NA,20.9025516783637,NA
1917-01-01,5,253.266666666667,297.5,138,297.5,168.765188616874,215.667568261897
1918-01-01,16,413.4375,545,405,545,205.342954996432,NA
2012-01-01,1,12,16,12,16,NA,NA
