"schema.date","count","mean.price.min","mean.price.max","mean.price.avg","median.min","median.max","median.avg","sd.min","sd.max","sd.avg","dmp.min","dmp.max","dmp.avg"
1858-03-01,1,9,NA,9,9,NA,9,NA,NA,NA,-76.6465311556265,NA,-77.5887513530765
1858-03-25,2,13.5,NA,13.5,13.5,NA,13.5,0.707106781186548,NA,0.707106781186548,-64.9697967334398,NA,-66.3831270296148
1858-04-03,1,17,22,19.5,17,22,19.5,NA,NA,NA,-55.8878921828501,-50.9820991348822,-51.4422945983325
1858-04-12,1,10,13,11.5,10,13,11.5,NA,NA,NA,-74.0517012840295,-71.0348767615213,-71.3634045067089
1858-08-07,1,15,20,17.5,15,20,17.5,NA,NA,NA,-61.0775519260442,-55.438271940802,-56.4225720754266
1858-12-04,1,18,23,20.5,18,23,20.5,NA,NA,NA,-53.2930623112531,-48.7540127319223,-48.9521558597854
1859-12-29,4,31.75,33.25,32.5,30.5,31.5,31,4.3493294502333,4.57347424467075,4.45346307196246,-17.6141515767936,-25.9161271015833,-19.0704909972208
1860-01-01,1,23.6,NA,23.6,23.6,NA,23.6,NA,NA,NA,-38.7620150303096,NA,-41.2327257702895
1860-01-05,4,31.75,33.25,32.5,30.5,31.5,31,4.3493294502333,4.57347424467075,4.45346307196246,-17.6141515767936,-25.9161271015833,-19.0704909972208
1860-01-12,4,31.75,33.25,32.5,30.5,31.5,31,4.3493294502333,4.57347424467075,4.45346307196246,-17.6141515767936,-25.9161271015833,-19.0704909972208
1872-01-01,3,20,25,20.8333333333333,20,25,20,0,NA,1.44337567297406,-48.103402568059,-44.2978399260025,-48.122109613603
1876-02-24,2,61.1111111111111,57.7777777777778,62.7777777777778,61.1111111111111,57.7777777777778,62.7777777777778,14.142135623731,NA,11.7851130197758,58.5729365975976,28.7338810599053,56.3253763643428
1877-10-16,1,35,42,38.5,35,42,38.5,NA,NA,NA,-9.18095449410318,-6.4203710756842,-4.12965856593843
1877-12-01,1,40,48,44,40,48,44,NA,NA,NA,3.79319486388208,6.9481473420752,9.56610449607037
1877-12-15,1,40,NA,40,40,NA,40,NA,NA,NA,3.79319486388208,NA,-0.39445045811785
1877-12-17,2,41,NA,41,41,NA,41,1.4142135623731,NA,1.4142135623731,6.38802473547914,NA,2.0956882804292
1878-01-01,1,30,36,33,30,36,33,NA,NA,NA,-22.1551038520884,-19.7888894934436,-17.8254216279472
1878-01-18,1,43.2,48,45.6,43.2,48,45.6,NA,NA,NA,12.0966504529926,6.9481473420752,13.5503264777456
1878-02-11,2,42,45,42.25,42,45,42.25,2.82842712474619,NA,3.18198051533946,8.98285460707619,0.263888133195502,5.20836170361302
1878-03-01,1,60,NA,60,60,NA,60,NA,NA,NA,55.6897922958231,NA,49.4083243128232
1878-04-15,1,70,NA,70,70,NA,70,NA,NA,NA,81.6380910117936,NA,74.3097116982938
1878-05-13,1,35,NA,35,35,NA,35,NA,NA,NA,-9.18095449410318,NA,-12.8451441508531
1878-06-06,1,42,NA,42,42,NA,42,NA,NA,NA,8.98285460707619,NA,4.58582701897626
1878-06-26,1,22,25,23.5,22,25,23.5,NA,NA,NA,-42.9137428248649,-44.2978399260025,-41.4817396441442
1878-10-27,1,35,NA,35,35,NA,35,NA,NA,NA,-9.18095449410318,NA,-12.8451441508531
1879-01-01,3,65,80,66.6666666666667,70,80,75,13.228756555323,NA,14.4337567297406,68.6639416538084,78.246912236792,66.0092492364703
1879-04-15,1,27,NA,27,27,NA,27,NA,NA,NA,-29.9395934668796,NA,-32.7662540592295
1879-07-01,1,40,NA,40,40,NA,40,NA,NA,NA,3.79319486388208,NA,-0.39445045811785
1879-11-16,1,40,NA,40,40,NA,40,NA,NA,NA,3.79319486388208,NA,-0.39445045811785
1879-12-01,1,50,NA,50,50,NA,50,NA,NA,NA,29.7414935798526,NA,24.5069369273527
1879-12-25,1,40,NA,40,40,NA,40,NA,NA,NA,3.79319486388208,NA,-0.39445045811785
1880-01-01,4,39.5833325,NA,39.5833325,32.5,NA,32.5,20.8333342,NA,20.8333342,2.71201358835841,NA,-1.43201034096141
1880-01-31,1,400,NA,400,400,NA,400,NA,NA,NA,937.931948638821,NA,896.055495418821
1880-03-01,1,62,NA,62,62,NA,62,NA,NA,NA,60.8794520390172,NA,54.3886017899173
1880-03-10,1,60,NA,60,60,NA,60,NA,NA,NA,55.6897922958231,NA,49.4083243128232
1880-03-16,1,70,NA,70,70,NA,70,NA,NA,NA,81.6380910117936,NA,74.3097116982938
1880-03-30,1,55,NA,55,55,NA,55,NA,NA,NA,42.7156429378379,NA,36.957630620088
1880-04-03,1,700,NA,700,700,NA,700,NA,NA,NA,1716.38091011794,NA,1643.09711698294
1880-06-01,1,20,NA,20,20,NA,20,NA,NA,NA,-48.103402568059,NA,-50.1972252290589
1881-01-01,1,29,NA,29,29,NA,29,NA,NA,NA,-24.7499337236855,NA,-27.7859765821354
1882-01-01,1,23,NA,23,23,NA,23,NA,NA,NA,-40.3189129532678,NA,-42.7268090134178
1882-03-01,1,17,NA,17,17,NA,17,NA,NA,NA,-55.8878921828501,NA,-57.6676414447001
1882-03-03,1,25,NA,25,25,NA,25,NA,NA,NA,-35.1292532100737,NA,-37.7465315363237
1882-11-16,1,23,NA,23,23,NA,23,NA,NA,NA,-40.3189129532678,NA,-42.7268090134178
1883-03-31,1,20,NA,20,20,NA,20,NA,NA,NA,-48.103402568059,NA,-50.1972252290589
1883-09-20,1,23,NA,23,23,NA,23,NA,NA,NA,-40.3189129532678,NA,-42.7268090134178
1883-09-29,1,20,24,22,20,24,22,NA,NA,NA,-48.103402568059,-46.5259263289624,-45.2169477519648
1883-11-22,1,17,24,20.5,17,24,20.5,NA,NA,NA,-55.8878921828501,-46.5259263289624,-48.9521558597854
1883-12-08,1,22,NA,22,22,NA,22,NA,NA,NA,-42.9137428248649,NA,-45.2169477519648
1883-12-31,1,15,20,17.5,15,20,17.5,NA,NA,NA,-61.0775519260442,-55.438271940802,-56.4225720754266
1884-03-31,1,15,20,17.5,15,20,17.5,NA,NA,NA,-61.0775519260442,-55.438271940802,-56.4225720754266
1884-08-30,1,2,NA,2,2,NA,2,NA,NA,NA,-94.8103402568059,NA,-95.0197225229059
1884-09-08,1,20,NA,20,20,NA,20,NA,NA,NA,-48.103402568059,NA,-50.1972252290589
1885-01-01,4,28.75,20,29.5,25,20,25.75,14.8856754409511,0,14.1008273988916,-25.3986411915848,-55.438271940802,-26.5409072128619
1885-06-27,1,24,NA,24,24,NA,24,NA,NA,NA,-37.7240830816707,NA,-40.2366702748707
1886-01-01,3,28.3333333333333,34,31.3333333333333,33,34,35,9.8657657246325,19.7989898732233,11.4491629970637,-26.4798203047502,-24.2450622993634,-21.975652858859
