"month","count","mean.price.min","mean.price.max","median.min","median.max","sd.min","sd.max"
1832-01-01,1,18,NA,18,NA,NA,NA
1858-01-01,4,14,16.75,14,16.5,3.2659863237109,4.11298755975102
1858-03-01,3,12,NA,13,NA,2.64575131106459,NA
1858-04-01,2,13.5,17.5,13.5,17.5,4.94974746830583,6.36396103067893
1858-06-01,1,26,30,26,30,NA,NA
1858-07-01,2,20.75,23.75,20.75,23.75,8.1317279836453,5.30330085889911
1858-08-01,2,18,20,18,20,4.24264068711928,NA
1858-09-01,4,20,23,20,23,1.63299316185545,NA
1858-10-01,5,20.4,24.75,19,23,3.78153408023781,4.27200187265877
1858-11-01,3,18.6666666666667,24.3333333333333,19,25,0.577350269189626,1.15470053837925
1858-12-01,2,20,24.5,20,24.5,2.82842712474619,2.12132034355964
1859-01-01,5,19,24.2,19,24,1,1.09544511501033
1859-02-01,5,19.3,23.6666666666667,20,24,1.09544511501033,0.577350269189626
1859-03-01,4,22.0833333333333,24.75,22,24.5,0.957427107756338,0.957427107756338
1859-06-01,3,26,31.3333333333333,25,30,1.73205080756888,2.3094010767585
1859-07-01,3,27.3333333333333,32.3333333333333,27,32,4.50924975282289,3.51188458428425
1859-08-01,3,24.6666666666667,27.6666666666667,24,28,2.08166599946613,2.51661147842358
1859-09-01,3,23.6666666666667,26.6666666666667,24,27,3.51188458428425,3.51188458428425
1859-10-01,9,27.2222222222222,29.4285714285714,27,29,2.48886408717801,2.76026223736942
1859-11-01,13,30.0769230769231,32,30,32,2.84199280029403,3.5213633723318
1859-12-01,5,28.8,31,30,31,7.59605160593318,6.40312423743285
1860-01-01,9,30.8444444444444,33.25,30,31.5,4.64411216248895,4.23421438150827
1860-03-01,1,45,NA,45,NA,NA,NA
1860-04-01,3,35,NA,36,NA,9.53939201416946,NA
1860-05-01,8,43.875,42.5,39,42,10.3432172391932,4.43471156521669
1860-06-01,4,37.75,39.75,37.5,40,4.57347424467075,4.92442890089805
1860-11-01,7,39.5714285714286,39.2,40,37,4.54082014828242,4.14728827066554
1860-12-01,2,32,34,32,34,0,NA
1861-01-01,2,35,37.5,35,37.5,2.82842712474619,4.94974746830583
1861-02-01,2,34,38,34,38,5.65685424949238,8.48528137423857
1861-03-01,1,39,NA,39,NA,NA,NA
1861-04-01,1,56.15,NA,56.15,NA,NA,NA
1861-06-01,3,25.3333333333333,NA,26,NA,5.03322295684717,NA
1861-08-01,7,24.1428571428571,26.2857142857143,25,28,2.34012616672488,2.36038737740833
1862-04-01,1,10,11.6666666666667,10,11.6666666666667,NA,NA
1862-09-01,1,30,NA,30,NA,NA,NA
1872-01-01,3,20,25,20,25,0,NA
1876-02-01,2,61.1111111111111,57.7777777777778,61.1111111111111,57.7777777777778,14.142135623731,NA
1877-10-01,1,35,42,35,42,NA,NA
1877-12-01,4,40.5,48,40,48,1,NA
1878-01-01,2,36.6,42,36.6,42,9.33380951166242,8.48528137423857
1878-02-01,2,42,45,42,45,2.82842712474619,NA
1878-03-01,1,60,NA,60,NA,NA,NA
1878-04-01,1,70,NA,70,NA,NA,NA
1878-05-01,1,35,NA,35,NA,NA,NA
1878-06-01,2,32,25,32,25,14.142135623731,NA
1878-10-01,1,35,NA,35,NA,NA,NA
1879-01-01,3,65,80,70,80,13.228756555323,NA
1879-04-01,1,27,NA,27,NA,NA,NA
1879-07-01,1,40,NA,40,NA,NA,NA
1879-11-01,1,40,NA,40,NA,NA,NA
1879-12-01,2,45,NA,45,NA,7.07106781186548,NA
1880-01-01,5,111.666666,NA,35,NA,162.189875463229,NA
